Category,Discount_Group,Orders,Sales,Quantity,Profit,Profit_Margin
Technology,>20-30%,5,3756.3050000000003,12,326.03950000000003,8.679793041299895
Furniture,>0-10%,71,46634.24700000001,313,7111.0118999999995,15.248475867960295
Office Supplies,>0-10%,16,4324.149,55,1086.0808000000002,25.11663682264418
Office Supplies,>30%,573,39523.147000000004,2691,-47140.13760000002,-119.2722269813181
Technology,>0-10%,2,3410.955,5,832.0843,24.39446723864724
Technology,>10-20%,744,314913.6159999999,3150,46032.605699999964,14.617534257394565
Furniture,0%,739,256025.27000000002,3224,58133.07639999997,22.70599163902843
Furniture,>30%,296,95680.39080000007,1220,-43782.43920000001,-45.75905139384106
Furniture,>10-20%,585,244189.53750000047,2434,7684.940600000003,3.147121157883346
Technology,0%,718,389733.1999999996,3157,132348.42039999968,33.958723660185946
Office Supplies,>10-20%,1661,233049.73600000062,8274,38038.751200000006,16.322160176143647
Technology,>30%,147,124339.95700000002,615,-34084.201799999995,-27.41210679363512
Office Supplies,0%,2020,442150.00000000146,11886,130506.10639999989,29.516251588827195
Furniture,>20-30%,207,99470.34999999996,837,-10695.316899999996,-10.752266278343244
