Customer ID,Avg_Discount,Total_Sales,Total_Profit,Order_Count,prediction
RR-19315,0.275,615.932,-73.83500000000001,2,2
VW-21775,0.1611111111111111,6134.0380000000005,-874.6645,10,1
PB-19210,0.1,132.738,21.897000000000002,2,0
MY-17380,0.3076923076923077,2254.285,319.12109999999996,7,2
EM-13960,0.2333333333333333,933.704,102.29599999999999,5,2
MS-17530,0.15714285714285717,475.656,84.0268,4,0
SW-20275,0.028571428571428574,1966.6499999999999,332.8725,6,0
BD-11500,0.13499999999999998,4411.2429999999995,1142.1225,6,1
KH-16630,0.10588235294117647,3918.966,727.3786,9,1
AH-10690,0.21739130434782614,7888.293999999999,1298.0166,12,3
JF-15415,0.07142857142857142,2371.4480000000003,635.6376000000001,6,0
JF-15490,0.14666666666666667,1082.918,-18.067300000000017,11,1
PH-18790,0.2,729.648,47.8878,1,2
PW-19240,0.1708333333333333,3922.415,1290.354,7,1
IM-15070,0.16666666666666666,4930.474,514.6526999999999,7,1
OT-18730,0.15999999999999998,3818.6240000000007,-925.1202999999999,5,2
KF-16285,0.03333333333333334,10604.266,1660.1386,7,3
KD-16615,0.10769230769230768,2243.5099999999998,539.7219,5,0
NW-18400,0.21363636363636368,7234.014,1023.1230000000002,7,1
KM-16225,0.021052631578947368,2260.958,635.1057,6,0
JH-15985,0.08571428571428572,7954.9980000000005,-644.6982000000002,6,1
ND-18370,0.2111111111111111,4326.138999999999,353.64549999999997,9,1
SM-20320,0.24666666666666665,25043.05,-1980.7392999999997,5,3
BG-11695,0.1375,1874.172,107.57149999999999,6,0
MG-18145,0.1875,3061.5429999999997,-93.60300000000001,4,2
BS-11380,0.27692307692307694,3887.834,-17.53220000000004,5,2
PP-18955,0.10882352941176471,7252.608,1495.0854000000002,10,3
PJ-18835,0.07692307692307693,1220.0900000000001,442.13550000000004,8,0
SO-20335,0.1366666666666667,2602.5755,-81.08580000000006,6,0
TB-21400,0.07058823529411766,9133.99,2798.3689000000004,7,3
DN-13690,0.018181818181818184,2139.7899999999995,540.5405000000001,7,0
DG-13300,0.1,3195.818,562.7761,5,0
JK-15370,0.12352941176470589,2709.632,330.2838,8,1
DJ-13420,0.0,2012.52,483.03499999999997,4,0
CB-12025,0.16346153846153846,6076.139000000001,150.20890000000009,10,1
AR-10345,0.26,1055.694,-221.0544,4,2
MC-17575,0.2909090909090909,1303.893,210.7493,8,2
NB-18655,0.1735294117647059,1972.599,117.64290000000001,9,1
BS-11365,0.011111111111111112,10501.652999999998,2616.0644,5,3
DS-13030,0.1394736842105263,1762.2130000000002,193.3319,4,0
SS-20515,0.0,613.4000000000001,199.93449999999996,3,0
GZ-14545,0.04,2454.6220000000003,828.661,4,0
PO-19180,0.10555555555555556,4893.043,1155.4331,9,1
LL-16840,0.016666666666666666,2741.2039999999993,560.0078000000001,6,0
ND-18460,0.0875,2893.455,443.33680000000004,6,0
CC-12220,0.11818181818181821,3913.4180000000006,393.9618,12,1
AB-10105,0.24000000000000005,14473.571,5444.8055,10,3
CC-12670,0.16785714285714287,2269.7015,187.8399,7,1
JA-15970,0.21250000000000002,6491.026000000001,-819.4217000000001,8,1
CA-12265,0.18941176470588236,2648.2871999999998,279.6183,9,1
JK-15325,0.1,383.812,55.32769999999999,3,0
TP-21130,0.08750000000000001,4454.0560000000005,1129.1261,9,1
CS-12355,0.0818181818181818,3202.162,831.9432,11,1
DB-13360,0.08333333333333333,1081.466,291.0085,5,0
RE-19405,0.2,48.36,6.045,1,2
PF-19225,0.06000000000000001,2206.128,591.3118000000001,5,0
DK-12895,0.08000000000000002,4282.176,937.6496,5,0
CL-12565,0.11428571428571428,10880.546000000002,1933.7831,12,3
ME-17320,0.1318181818181818,10663.728,1859.4695,10,3
VF-21715,0.06363636363636363,847.944,-96.27799999999999,5,0
EM-14065,0.25,228.99,40.15459999999999,4,2
RH-19555,0.5333333333333333,740.382,0.30570000000000075,2,2
AB-10015,0.06666666666666667,886.156,129.3465,3,0
TC-20980,0.11666666666666665,19052.217999999997,8981.3239,5,3
ML-17755,0.1076923076923077,2071.914,409.5112,7,0
GK-14620,0.15714285714285717,6497.27,1448.5524999999998,9,3
BF-11170,0.12222222222222223,5907.972,1538.2127,11,3
RB-19645,0.14285714285714285,221.084,72.679,5,0
RS-19870,0.06666666666666667,22.328,9.5838,2,0
NK-18490,0.1272727272727273,572.048,121.21770000000001,7,0
BO-11425,0.0,130.83,59.4522,2,0
KH-16510,0.10869565217391304,5952.859,656.1162000000002,7,1
KT-16465,0.2285714285714286,3057.1000000000004,254.00320000000005,7,1
SH-19975,0.13620689655172413,3406.8395,558.4739999999999,13,1
TS-21340,0.2833333333333333,974.7819999999999,-184.97889999999998,5,2
EH-14005,0.17272727272727273,1219.53,-94.14079999999998,7,1
FH-14365,0.13846153846153847,6987.196,2050.2826,8,3
DB-12970,0.16571428571428573,2839.2272,213.00289999999995,5,0
