Order_Discount_Group,Order_Profit_Margin
0%,29.000000000000004
>20-30%,15.240217867651666
0%,48.00000000000001
0%,27.0
>0-10%,28.051301491028557
>30%,-107.50000000000001
0%,21.999999999999996
>30%,-41.49366672150024
0%,26.480967662305606
>20-30%,-29.269401155538993
>20-30%,-13.116258710401649
>20-30%,17.909344005568123
>20-30%,-8.530152555158633
0%,46.0
>10-20%,10.0
0%,8.862179785129017
>0-10%,31.129203331238216
>30%,-48.9145590555188
0%,48.99999999999999
>20-30%,16.14321454722968
>30%,3.7830997258067622
>10-20%,12.5
>10-20%,30.0
>30%,-70.0
0%,1.9999999999999998
>10-20%,4.999999999999999
>10-20%,21.882157123834887
0%,26.0
>10-20%,36.25
>0-10%,5.33820441022051
0%,31.25925925925926
0%,36.0
>10-20%,25.0
>20-30%,-2.857142857142857
0%,28.999999999999996
>0-10%,13.107658996885249
>10-20%,36.25000000000001
>10-20%,12.161062225015714
0%,40.350211528291915
>10-20%,22.59358742365981
0%,25.0
>10-20%,31.25
>30%,-5.40803429136671
>0-10%,14.444444444444446
>10-20%,27.500000000000004
>10-20%,22.5
>10-20%,-8.261627454035525
>30%,-66.3637473405183
>0-10%,36.43786319773951
>0-10%,9.649567831642239
>30%,-42.5
>10-20%,12.5
>10-20%,36.39541529631513
>10-20%,-22.5
0%,30.000000000000004
>10-20%,-6.25
0%,33.0
>10-20%,36.25
0%,46.0
>10-20%,31.249999999999993
0%,50.0
0%,25.65373289450892
0%,48.00000000000001
0%,42.0
>30%,-170.0
0%,42.99999999999999
0%,35.46940970408383
0%,26.0
>30%,27.665833803498025
>10-20%,30.49647022713321
0%,32.33285024154589
>30%,6.375427041876519
>10-20%,35.0
0%,47.0
>10-20%,10.0
>10-20%,10.0
0%,47.0
>10-20%,-22.5
0%,46.327977839335176
0%,45.00000000000001
>30%,-119.95909175971553
0%,39.757261283389624
>10-20%,17.039611752360965
>30%,-160.0
>30%,-32.600643005236805
>10-20%,8.75
0%,16.189452205305294
>10-20%,37.49999999999999
>10-20%,10.940585741611953
0%,29.000000000000004
0%,27.999999999999996
>30%,5.407727171958519
0%,34.743840377335076
>30%,-155.0
0%,26.0
>0-10%,47.530535635303764
>30%,-42.588801184015786
>10-20%,-1.25
>20-30%,-10.0
>10-20%,12.5
>30%,-4.09345164991231
>0-10%,38.035497203987354
>10-20%,36.11152694610779
0%,28.999999999999996
>30%,-53.11484531493434
0%,46.0
0%,26.0
>0-10%,26.10144677919394
>30%,-76.70619279378923
0%,50.0
>10-20%,-16.25
>10-20%,35.0
>30%,-87.5
0%,26.0
>10-20%,37.5
>0-10%,26.225150749344415
>30%,4.093826344115649
0%,27.999999999999996
0%,46.0
>0-10%,29.222217830949816
>0-10%,30.171779364285378
>30%,-29.149196841818675
>10-20%,8.75
>0-10%,32.79009126466753
>0-10%,21.72034553086042
>10-20%,35.0
0%,48.02229386725016
>30%,-20.0
0%,19.40175914580781
>30%,-68.29812755997659
>10-20%,-17.5
0%,48.0
>10-20%,20.0
0%,46.49788672865596
0%,48.0
>10-20%,28.750000000000004
>0-10%,18.14430137523199
0%,44.72611944621444
>10-20%,-3.991966495335998
>10-20%,33.75
>30%,-129.973034176574
0%,37.99999999999999
>10-20%,33.75
0%,39.0
0%,30.0
>30%,-259.99999999999994
>30%,-15.656449506485668
>30%,-83.33333333333334
0%,49.0
>10-20%,-22.5
>30%,-165.0
0%,27.121318090114325
>10-20%,-3.8115342987235956
>10-20%,32.5
>10-20%,36.24999999999999
>30%,-66.66666666666667
>30%,-275.0
>10-20%,17.5
>10-20%,11.25
>0-10%,15.565961559996936
>20-30%,16.82761372705507
>30%,20.47903169050527
0%,22.574854844831343
>10-20%,11.25
>0-10%,30.58005563841732
>30%,-25.0
>30%,1.769287682168202
0%,37.33414211438475
0%,15.999999999999998
>10-20%,31.432947800168133
>20-30%,-2.433962264150943
0%,2.0
0%,46.97600441565232
>0-10%,4.0081374637655856
0%,31.2958115183246
0%,34.0
>0-10%,13.64070929863535
0%,34.0
>10-20%,8.75
>10-20%,37.5
0%,17.0
0%,30.0
>10-20%,19.39477848101266
>20-30%,-10.43473534057868
0%,47.0
>20-30%,-9.775356664386296
0%,35.712667229118956
0%,33.18293335132088
>10-20%,8.79118894084607
0%,48.0
0%,8.009746588693956
0%,11.326572979878634
>30%,-165.0
>0-10%,18.34167679006083
>0-10%,34.49525576768565
>0-10%,31.99719132827777
>10-20%,-17.5
>10-20%,6.25
>30%,-85.8868769470405
>10-20%,11.25
>0-10%,27.517804379119625
>10-20%,18.75
0%,34.0
0%,47.99999999999999
>10-20%,-21.250000000000004
>0-10%,38.65386123088985
>30%,24.98977771977902
0%,48.0
>10-20%,35.0
0%,45.0
>10-20%,-1.0955567735775666
0%,26.5695056870547
>20-30%,5.197491195858292
0%,18.0
>10-20%,20.0
>10-20%,-20.0
>10-20%,36.25
>10-20%,32.5
0%,37.0
>10-20%,1.2500000000000002
0%,13.688044984108874
